"CustomerID","Gender","Age","ResCountry"
1,"female",51,"France"
2,"male",46,"France"
3,"female",37,"France"
4,"male",66,"Portugal"
5,"male",41,"France"
6,"female",17,"France"
7,"male",27,"France"
8,"male",44,"Portugal"
9,"male",20,"France"
10,"female",40,"UK"
11,"male",35,"France"
12,"female",37,"France"
13,"male",48,"France"
14,"male",32,"France"
15,"female",48,"France"
16,"male",45,"France"
17,"female",38,"France"
18,"female",61,"France"
19,"female",35,"Belgium"
20,"male",29,"France"
21,"male",23,"France"
22,"male",38,"Belgium"
23,"male",40,"Belgium"
24,"other",30,"Germany"
25,"male",24,"France"
26,"male",62,"Belgium"
27,"male",25,"UK"
28,"male",21,"Belgium"
29,"female",50,"Belgium"
30,"female",25,"Belgium"
31,"other",33,"France"
32,"male",87,"UK"
33,"male",29,"France"
34,"male",40,"Belgium"
35,"female",59,"France"
36,"female",61,"France"
37,"male",48,"Italy"
38,"female",45,"Belgium"
39,"female",70,"France"
40,"female",27,"France"
41,"female",60,"Belgium"
42,"female",23,"Belgium"
43,"female",37,"France"
44,"female",70,"France"
45,"female",26,"UK"
46,"female",61,"Belgium"
47,"female",40,"UK"
48,"female",41,"France"
49,"female",52,"France"
50,"male",44,"Belgium"
51,"female",37,"France"
52,"female",32,"France"
53,"male",23,"UK"
54,"female",60,"UK"
55,"male",34,"France"
56,"female",37,"Belgium"
57,"female",42,"France"
58,"male",43,"France"
59,"male",19,"Italy"
60,"female",28,"UK"
61,"male",28,"Belgium"
62,"female",19,"France"
63,"female",30,"UK"
64,"female",16,"France"
65,"male",32,"Belgium"
66,"female",52,"Italy"
67,"male",34,"France"
68,"male",30,"Belgium"
69,"male",59,"France"
70,"female",31,"France"
71,"male",45,"France"
72,"male",29,"France"
73,"male",54,"France"
74,"female",57,"France"
75,"female",78,"France"
76,"female",83,"France"
77,"female",60,"France"
78,"male",32,"France"
79,"female",21,"Belgium"
80,"female",85,"France"
81,"female",54,"France"
82,"male",35,"UK"
83,"female",37,"UK"
84,"male",24,"France"
85,"female",17,"Belgium"
86,"female",51,"Spain"
87,"other",24,"France"
88,"male",43,"France"
89,"male",25,"UK"
90,"female",18,"UK"
91,"female",45,"France"
92,"male",36,"Belgium"
93,"female",25,"Belgium"
94,"male",53,"Spain"
95,"female",49,"France"
96,"female",33,"France"
97,"male",65,"France"
98,"female",42,"Portugal"
99,"female",39,"Germany"
100,"male",42,"Italy"
101,"male",21,"Germany"
102,"female",49,"Germany"
103,"male",61,"Belgium"
104,"male",88,"Spain"
105,"male",74,"UK"
106,"male",31,"France"
107,"male",31,"France"
108,"male",23,"France"
109,"female",23,"France"
110,"female",21,"France"
111,"male",41,"France"
112,"female",18,"Belgium"
113,"female",65,"Belgium"
114,"male",49,"UK"
115,"male",22,"France"
116,"female",83,"France"
117,"male",72,"UK"
118,"male",53,"France"
119,"male",31,"Portugal"
120,"female",41,"Belgium"
121,"male",79,"UK"
122,"female",20,"France"
123,"female",22,"France"
124,"female",28,"Belgium"
125,"female",30,"France"
126,"other",22,"France"
127,"female",21,"UK"
128,"female",20,"France"
129,"female",53,"France"
130,"male",38,"France"
131,"male",53,"France"
132,"male",56,"UK"
133,"male",19,"France"
134,"male",26,"France"
135,"male",29,"Belgium"
136,"male",27,"UK"
137,"male",76,"France"
138,"male",63,"Portugal"
139,"other",17,"France"
140,"female",19,"France"
141,"female",23,"UK"
142,"female",17,"France"
143,"female",26,"Belgium"
144,"female",57,"France"
145,"male",23,"UK"
146,"female",27,"Belgium"
147,"female",33,"France"
148,"female",31,"France"
149,"female",20,"France"
150,"male",67,"France"
151,"male",26,"France"
152,"male",24,"France"
153,"female",23,"France"
154,"female",44,"UK"
155,"female",18,"Belgium"
156,"female",23,"Italy"
157,"male",81,"France"
158,"female",48,"France"
159,"female",32,"France"
160,"female",36,"Belgium"
161,"male",63,"Belgium"
162,"female",20,"France"
163,"male",20,"France"
164,"female",35,"France"
165,"female",48,"France"
166,"male",53,"Portugal"
167,"male",58,"France"
168,"female",17,"UK"
169,"female",80,"France"
170,"female",58,"Italy"
171,"male",18,"UK"
172,"female",53,"Germany"
173,"male",32,"UK"
174,"male",38,"Portugal"
175,"male",47,"France"
176,"male",57,"Portugal"
177,"female",33,"Belgium"
178,"male",66,"UK"
179,"male",17,"Belgium"
180,"male",16,"France"
181,"male",53,"France"
182,"female",19,"France"
183,"male",36,"France"
184,"female",33,"UK"
185,"male",27,"France"
186,"male",23,"UK"
187,"female",23,"Belgium"
188,"male",28,"France"
189,"male",33,"France"
190,"male",20,"France"
191,"female",27,"France"
192,"female",46,"France"
193,"other",38,"UK"
194,"male",27,"France"
195,"male",22,"France"
196,"female",40,"UK"
197,"female",33,"France"
198,"male",55,"France"
199,"female",81,"France"
200,"male",30,"France"
201,"female",36,"UK"
202,"other",59,"France"
203,"male",19,"UK"
204,"male",35,"Belgium"
205,"female",73,"France"
206,"male",46,"France"
207,"female",48,"Belgium"
208,"female",69,"France"
209,"female",38,"France"
210,"female",22,"France"
211,"male",17,"Belgium"
212,"female",29,"France"
213,"female",36,"UK"
214,"male",17,"France"
215,"female",40,"Belgium"
216,"male",61,"France"
217,"female",74,"France"
218,"female",33,"Belgium"
219,"male",27,"UK"
220,"male",71,"France"
221,"female",33,"France"
222,"other",18,"France"
223,"male",28,"France"
224,"male",62,"France"
225,"female",30,"France"
226,"female",17,"UK"
227,"female",17,"France"
228,"male",19,"France"
229,"male",51,"UK"
230,"male",27,"France"
231,"male",38,"Belgium"
232,"female",52,"France"
233,"male",25,"Germany"
234,"female",44,"France"
235,"female",42,"France"
236,"female",19,"UK"
237,"female",42,"France"
238,"male",38,"Portugal"
239,"female",16,"France"
240,"male",30,"France"
241,"male",40,"UK"
242,"male",83,"Portugal"
243,"female",16,"France"
244,"male",44,"UK"
245,"female",24,"France"
246,"male",26,"UK"
247,"female",30,"Spain"
248,"other",79,"France"
249,"other",36,"Belgium"
